Country,emb1985,emb1986,emb1987,emb1988,emb1989,emb1990,emb1991,emb1992,emb1993,emb1994,emb1995,emb1996,emb1997,emb1998,emb1999,emb2000,emb2001,emb2002,emb2003,emb2004,emb2005,emb2006,eve1985,eve1986,eve1987,eve1988,eve1989,eve1990,eve1991,eve1992,eve1993,eve1994,eve1995,eve1996,eve1997,eve1998,eve1999,eve2000,eve2001,eve2002,eve2003,eve2004,eve2005,evn1985,evn1986,evn1987,evn1988,evn1989,evn1990,evn1991,evn1992,evn1993,evn1994,evn1995,evn1996,evn1997,evn1998,evn1999,evn2000,evn2001,evn2002,evn2003,evn2004,evn2005
Former Yugoslavia,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,1,,,,,,,,,,,,1,1,
Somalia,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Angola,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,1,-1,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,
Rwanda,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
Sudan,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,,,,,,,,,,,,,,,1,,,,,,-1,1,,,,1,,,,,,,,,,,,,-1,,,
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,-1,,-1,,,,,,,,,,,,,1,,,,-1,1,,,,,,,,
Ethiopia & Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Central Af. Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,-1,,,,,,,,,,
Haiti,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,1,1,,,,,,,
